Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
Mysterio24,R1,Applying,,,,,N,,,0,,,
moosehead,R1,Applying,,,,,N,,,0,,,
snkrhed,R1,,,,3.7,Liberal Arts and Humanities,N,,22,0,Consumer Electronics,Corporate Finance,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
springbok20009,R1,Application Submitted,,750,,Economics,Y,,29,7,Consulting,General Management,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
rebzin,R2,Applying,,710,,Engineering,N,,,0,Consulting,Supply Chain Management,General Management
eatpraylove,R1,Application Submitted,,710,,,N,,,0,,,
d*****,R1,Applying,United States,740,,Engineering,N,,27,5,Energy and Utilities,Engineering,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
kvazar,R1,Invited to Interview,,750,3.2,Finance,Y,09-29-2015,,0,Consulting,Accounting,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
pratulmangal,R2,Applying,,,,,N,,,0,,,
ChEM3,R2,Applying,,,,Engineering,N,,27,5,Energy and Utilities,Engineering,Entrepreneurship
Goillini13,R2,Applying,United States,650,3.58,Finance,N,,,4,Manufacturing,Corporate Finance,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
tuanquang269,R2,Applying,Viet Nam,,3.07,Business,N,,,0,,Marketing,International Business
ankurgupta03,R1,Application Submitted,India,760,3.35,Engineering,N,,,0,Computer Software,Consulting,Technology
samkhat77,R1,Application Submitted,,700,3.02,Science and Math,N,,28,6,Pharmaceuticals and Biotech,Account Management,Healthcare
rafgimenes,R1,Applying,Brazil,700,3,Engineering,N,,27,4,Consulting,Consulting,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
BrainFog,R2,Applying,,,,,N,,,0,,,
JediSatish,,Applying,,,,,N,,,0,,,Leadership
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
MPIvyLeague,R1,Applying,United States,,,,N,,,0,,,
AK_X3,R2,Applying,United States,770,3.39,Business,N,,27,6,Computer Software,Business Development,Technology
adelcos,R1,Applying,,,3.45,Engineering,N,,,0,Consumer Products,,
andy3590,R1,Applying,United States,750,3.95,Economics,N,,26,4,Retail,Consulting,General Management
iissosmarts,R1,Application Submitted,,680,,Law,N,,30,0,Consulting,Law,
seider,R1,Invited to Interview,,700,3.49,Business,Y,09-20-2015,,5,Venture Capital,,
Pauloesc,R1,Applying,,,,,N,,,0,,,
siva101424,R1,Applying,United States,,,Engineering,N,,22,0,Manufacturing,Supply Chain Management,Operations
sary251189,R1,Applying,Viet Nam,,2.78,Health or Medical,N,,26,0,Health Care,Medicine and Health,Healthcare
mpmbtr,R1,Applying,United States,250,4,Arts,N,,,0,Computer Software,Project Management,
blueapple,R2,Applying,,,3.97,Political Science,N,,29,6,Other,Other,General Management
vulajrob,R1,,,700,3.65,,N,,,0,,Brand Management,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
M**,R1,Applying,,710,3.9,Engineering,N,,,,,,Real Estate
jpbarcenas,R2,Applying,,,3.3,Communication,N,,,0,,,Social Entrepreneurship
Almaz,R1,Applying,Kyrgyzstan,,3.59,Economics,N,,29,5,Retail Banking,General Management,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
affalcon12,R1,Applying,,730,3.73,Other,N,,27,5,Military & Defense,Project Management,
Ywake,R2,Applying,,,,,N,,,0,,,
shalincshah,R1,Applying,,,,,N,,,0,,,
prabucc,R2,Applying,,,,Engineering,N,,,0,,,Strategy
lpetranina,R1,Applying,,,,Marketing,N,,,0,,,Marketing
pankajvashist,R2,Applying,United States,710,3.02,Engineering,N,,22,5,Telecommunications,Design,General Management
fmbraga,R1,Application Submitted,Brazil,720,,,N,,27,5,,,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Pulkitv,R1,Application Submitted,,710,,Engineering,N,,,,,,Strategy
kevintuscaloosa,R1,Applying,,770,3.3,Accounting,N,,27,3,Accounting,Accounting,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
samarthkapila,R1,Applying,India,740,,Engineering,N,,,0,Energy and Utilities,Project Management,Operations
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
transporter76,R1,Applying,,730,3.62,Engineering,N,,,0,Computer Hardware,Engineering,Finance
omohojo,R2,Applying,,,,Business,N,,,0,Investment Banking,Analyst,Finance
H**************,R1,Application Submitted,China,740,3.02,Liberal Arts and Humanities,N,,,5,Education,Business Development,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
daisuke1218,R1,Invited to Interview,,710,,,Y,10-02-2015,,0,,,Finance
Amol04,R1,Applying,,,,,N,,,0,,,Strategy
prateekharsh,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
lennerd,R1,Applying,,,,,N,,,0,,,
a******,R1,Applying,,790,3.73,Engineering,N,,25,4,Consulting,Consulting,Strategy
arunpkumar,R1,Application Submitted,,670,,Computer Science,N,,28,5,Consulting,Information Technology,Strategy
a***,R1,,India,760,,Other,N,,26,5,Retail,Other,Marketing
s***********,R2,Applying,,730,3.64,Science and Math,N,,25,0,Consulting,Consulting,Entrepreneurship
mba2k14,R1,Applying,,,,,N,,,0,,,
tomsshaji,R2,Applying,United States,,,,N,,,0,,,
HBS2016,R2,Applying,,,,,N,,,0,,,
manavkhurana,R2,Applying,United States,700,3.85,Finance,N,,26,4,Real Estate,Underwriter,Real Estate
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
saritdeb,R1,Application Submitted,India,720,,Engineering,N,,28,5,Computer Software,Consulting,
ohjoe1,R2,Applying,,,,,N,,,0,,,
pdog,R2,Applying,,,,,N,,,0,,,
bonnyantony,R1,Applying,United States,720,,Engineering,N,,,,,,Finance
Vinaykumar08,R2,Applying,,,3.99,Computer Science,N,,,0,Computer Software,Information Technology,
indraban,R2,Applying,India,760,3.3,Science and Math,N,,23,1,Retail,Project Management,Technology
kunalair1,R2,Applying,,,3.5,Engineering,N,,,0,,,Finance
c**********,R1,Application Submitted,,760,3.64,Economics,N,,,,,,
SSD,R1,Applying,,720,,,N,,,0,,,
fefonpe,R1,Application Submitted,,690,3.2,Economics,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
apdarkangels,R2,Applying,,,3.6,Computer Science,N,,,0,,,Strategy
Arnav180,R1,Applying,United States,,,Engineering,N,,,0,Transportation,Design,General Management
nab239,R1,Applying,United States,,,,N,,31,0,Retail,Other,Strategy
gn1,R1,Application Submitted,United Arab Emirates,710,3.83,Engineering,N,,27,0,Consulting,Consulting,
ilya49,R1,Applying,,,,,N,,,0,,,
halo,R1,Applying,United States,750,,,N,,,3,Consulting,,
mdeep92,R1,Applying,India,,,Engineering,N,,22,0,,,Finance
a********,R1,Application Submitted,,,3.9,Communication,N,,29,6,Internet and New Media,Consulting,Entrepreneurship
NickPapagiorgio,R1,Applying,United States,720,,Liberal Arts and Humanities,N,,28,5,Consumer Products,Marketing,Marketing
peopleanalytics,R1,Application Submitted,,750,3.9,Engineering,N,,,0,,,Organizational Behavior
ROTI,R1,Applying,,710,,Engineering,N,,,0,,,Operations
Trantor,R1,Applying,,740,,Engineering,N,,,0,,,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
aja1991,R1,Applying,Uzbekistan,620,3.4,Finance,N,,,0,Commercial Banking,Analyst,Finance
Jada,R1,Applying,,,,,N,,,0,,,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
tonykappen,R1,Applying,,,,,N,,,0,,,
s*********,R1,Applying,,,3.86,Science and Math,N,,29,4,Consulting,Information Technology,Strategy
TheRunaways,R2,Applying,,670,,,N,,,0,,,
ChileanUnderdog,R1,Applying,Chile,,3.07,Liberal Arts and Humanities,N,,28,4,Consumer Products,Brand Management,General Management
nishita21,R1,Applying,,,,,N,,,0,,,
Ops212,R1,Applying,,,3.2,,N,,,0,Manufacturing,Engineering,Strategy
felipeligorio,R1,Applying,,,,,N,,,0,,,
kittypryde,R1,Applying,,,,,N,,,0,,,
CPA2MBA,R1,Applying,,750,,,N,,,0,,,
atlmba2018,R1,Application Submitted,,740,3.83,Engineering,N,,,0,Consulting,,
vishalmkamath,R1,Applying,,530,1.6,Engineering,N,,16,0,Computer Software,Marketing,Finance
cdf123,R1,Application Submitted,,760,3.42,,N,,25,4,Other,Analyst,General Management
ayiratak,R1,Applying,,,0,,N,,,0,,,
s*******,R1,Application Submitted,United States,700,3.04,Science and Math,N,,26,4,,Asset Management,Strategy
sayingtheresachance,R1,Application Submitted,United States,710,3.79,Finance,N,,26,4,Consulting,Analyst,
SC19,R2,Applying,,,,,N,,2011,0,Venture Capital,Business Development,Entrepreneurship
jysan2001,R1,Applying,,780,3.45,Engineering,N,,27,6,Other,Engineering,Strategy
mr7183,R1,,,,,,N,,,0,,,
