Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
prabhat_bhakat,R1,Applying,,610,3.5,Engineering,N,,34,10,Manufacturing,Operations,
quantumquark,R1,Admitted,,740,4,Computer Science,Y,12-11-2013,29,6,Consulting,Consulting,Finance
ekv2,R1,Matriculating,,710,3.47,Finance,Y,11-21-2013,28,5,Manufacturing,Analyst,Marketing
levinator,R3,Application Submitted,,730,3.72,Computer Science,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
7*****,R1,Admitted,,750,3.53,Accounting,N,,,,,,Finance
kapilagrawal123,R3,Application Submitted,India,680,3,Engineering,N,,26,0,Telecommunications,Programming,Entrepreneurship
K*******,R3,Applying,Venezuela,550,3.09,Business,N,,26,0,Investment Banking,Other,Finance
Vinci12,R1,Applying,India,730,3.64,Engineering,N,,28,0,,,Finance
sarcastic,R1,Application Submitted,United States,740,,Engineering,N,,,0,Investment Banking,Securities Sales and Trading,Finance
juventino,R1,Applying,,,,Business,N,,,,,,Finance
duaxichlo,R1,Applying,Viet Nam,,,Business,N,,27,5,Venture Capital,Corporate Finance,Finance
chessmaster1,R2,Denied without Interview,,730,,,N,,,0,,,
kookie,R1,Application Submitted,,,,,N,,,,,,
trojan84,R2,Denied without Interview,United States,720,,,N,,,0,Computer Hardware,Engineering,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
sudi03,,Applying,,700,,,N,,,0,,,
kavin13,R3,Denied without Interview,United Arab Emirates,750,,Science and Math,N,,,0,,,Finance
handamanik,R1,Applying,,,,,N,,,0,,,
Pyar,R2,Waitlisted without Interview,United States,710,3.55,Finance,N,,,0,Investment Banking,Information Technology,Strategy
tm4733,R1,Applying,,,,,N,,,0,,,
chdheeraj1,R2,Matriculating,,740,3.5,Engineering,Y,02-14-2014,,0,Investment Banking,Securities Sales and Trading,Finance
kp4mba,R1,Applying,,740,3.6,Computer Science,N,,,0,,,Entrepreneurship
IvanW,R1,Applying,United States,,3.2,Marketing,N,,,0,Retail Banking,Sales,Entrepreneurship
LA2DC,R1,Applying,,,,,N,,,0,,,
prudhviram,R4,Application Submitted,,,,,N,,,0,,,
endlessfin1te,R2,Denied with Interview,United States,720,3.43,Economics,Y,02-28-2014,28,4,Entertainment and Sports,Accounting,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
P**************,R3,Matriculating,,740,3.6,Finance,Y,02-04-2014,26,4,Consulting,Consulting,Entrepreneurship
dimochka,R2,Admitted from WL,,770,,Finance,N,,,,,,Strategy
kk1987,R1,Applying,,610,3.04,Computer Science,N,,,0,,,Leadership
annisapramesti,R1,Applying,,590,,,N,,,0,,,
