Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
sachin2040,R2,Applying,,700,,,N,,,0,,,International Business
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
quc4gvxa,R1,Applying,India,,3.7,Engineering,N,,27,6,Real Estate,General Management,Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
anshul1208,R1,Applying,,,3.4,Engineering,N,,17,0,,,Operations
nexphase,R1,Applying,,740,3.5,,N,,,0,Investment Banking,Investment Banking,
MPIvyLeague,R1,Applying,United States,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
michaelmilken1989,R1,Applying,United States,,,Engineering,N,,,2,Manufacturing,Manufacturing and Production,Finance
Pauloesc,R1,Applying,,,,,N,,,0,,,
siva101424,R1,Applying,United States,,,Engineering,N,,22,0,Manufacturing,Supply Chain Management,Operations
silentsoul,R1,Applying,United States,,,Engineering,N,,,,,,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
M**,R1,Applying,,710,3.9,Engineering,N,,,,,,Real Estate
jpbarcenas,R1,Applying,,,3.3,Communication,N,,,0,,,Social Entrepreneurship
laffykaffy5,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
shalincshah,R1,Applying,,,,,N,,,0,,,
prabucc,R2,Applying,,,,Engineering,N,,,0,,,Strategy
E*****,R1,Applying,United States,,,,N,,,0,,,
kevintuscaloosa,R1,Applying,,770,3.3,Accounting,N,,27,3,Accounting,Accounting,Strategy
Gianfranco2014,R1,Application Submitted,,670,3.7,Economics,N,,25,5,Insurance,Analyst,Strategy
willeo,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
dolongdao,R2,Applying,,740,3.57,,N,,,0,,,Finance
omgmat,R1,Applying,United States,720,3.75,Accounting,N,,,0,Accounting,Asset Management,Finance
transporter76,R1,Applying,,730,3.62,Engineering,N,,,0,Computer Hardware,Engineering,Finance
anshul2014,R1,Applying,,,,,N,,,0,,,
hamdam,R1,Applying,,,,,N,,,0,,,
365Freakout,R2,Applying,,680,3.63,Finance,N,,26,4,Aerospace and Defense,Corporate Finance,Strategy
a***,R1,,India,760,,Other,N,,26,5,Retail,Other,Marketing
rohanadagouda,R1,Applying,,,3.62,Engineering,N,,,4,Computer Software,Information Technology,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
a*******,R1,Applying,Mexico,660,3.33,Economics,N,,29,0,Venture Capital,Analyst,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
p******,R1,Applying,India,730,2.92,Engineering,N,,22,3,Commercial Banking,Information Technology,Finance
sankrutimehta,R1,Applying,India,,3.97,Finance,N,,,0,,,Finance
pdog,R3,Applying,,,,,N,,,0,,,
kunalair1,R1,Applying,,,3.5,Engineering,N,,,0,,,Finance
mfabros,R1,Applying,United States,770,3.36,Economics,N,,,0,Health Care,Analyst,Economics
kbs13,R1,Applying,India,,3,Engineering,N,,,0,,,Entrepreneurship
fefonpe,R1,Applying,,690,3.2,Economics,N,,,0,,,Finance
janani28,R1,Applying,India,610,,Engineering,N,,28,5,Computer Software,Information Technology,General Management
apdarkangels,R2,Applying,,,3.6,Computer Science,N,,,0,,,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
ilya49,R1,,,,,,N,,,0,,,
simonyinsy,R1,Applying,United States,770,3.7,Business,N,,,,,,
kofoMBA18,R2,Applying,,730,,,N,,,,,,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
ROTI,R1,Applying,,710,,Engineering,N,,,0,,,Operations
thembaguy,R1,Applying,United States,,3.8,Engineering,N,,25,2,Consulting,Engineering,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Ignatius,R3,Applying,,690,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
tonykappen,R1,Applying,,,,,N,,,0,,,
saadis87,,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jackhack,R2,Applying,,,,,N,,,0,,,
TheRunaways,R2,Applying,,670,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
kittypryde,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
stagacdc,R1,Applying,India,740,3.9,Engineering,N,,18,0,Other,Securities Sales and Trading,Finance
dave19,R1,Applying,India,710,,Engineering,N,,26,0,Manufacturing,Design,General Management
Methylik,R1,Applying,,,,Arts,N,,,0,Retail,Design,Marketing
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Engr2012,R2,Applying,,750,3.7,Engineering,N,,29,4,Aerospace and Defense,Engineering,Finance
Celestial09,R1,Applying,United States,,,Finance,N,,,6,Investment Banking,Asset Management,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
anju9104,R1,Applying,United States,,,Engineering,N,,,2,Computer Software,Information Technology,
eshan429,R1,Applying,India,770,,Computer Science,N,,,0,Retail Banking,Analyst,General Management
m***********,R1,Applying,United States,,,,N,,,0,,,
S******,R2,Applying,,,,Other,N,,21,9,Entertainment and Sports,Broadcasting,Other
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
dong195270,R2,Applying,,730,,,N,,,0,,,Entrepreneurship
kobaum,R1,Applying,,,,,N,,,0,,,
tanukaushik,R2,Applying,,,,,N,,,0,,,
nklotz,R1,Applying,,,,,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
karnasankalp,R1,Applying,,,3,Economics,N,,,0,Energy and Utilities,Business Development,Strategy
rahulprasad,R1,Applying,,710,,,N,,,0,,,
a************,R1,Applying,United States,,,,N,,22,0,Non-Profit and Government,Project Management,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
vikramushankar,R1,Applying,,,3.67,Engineering,N,,23,2,Consulting,Manufacturing and Production,Strategy
viciss,R1,Applying,,,,,N,,,0,,,
rohanpanjiar,R1,Applying,,710,,,N,,26,0,Consulting,Marketing,Marketing
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
KPMM07,R1,Applying,United States,620,,Other,N,,,,,,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
danielsilva355,R1,Applying,,,,,N,,,0,,,
kvisharad,R1,Applying,,,,,N,,22,0,Manufacturing,Engineering,Operations
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Patronus,R1,Applying,,730,,,N,,,,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
andiatkin,R1,Applying,,,3.6,Business,N,,25,0,Consulting,Information Technology,
dkaran86,R1,Applying,India,720,3.51,Engineering,N,,29,8,Consulting,Consulting,Strategy
ganeshraja7,R1,Applying,,710,2.85,Engineering,N,,29,8,Consulting,Information Technology,
vikramudayshankar,R1,Applying,,,3.67,Engineering,N,,23,3,Consulting,Manufacturing and Production,Strategy
Ed2289,R1,Applying,United States,710,3.06,Other,N,,28,5,Hospitality and Tourism,Accounting,Strategy
krg220,R1,Applying,,,2.9,Economics,N,,26,4,Entertainment and Sports,Operations,Technology
rishirishabh,R3,Applying,,,,,N,,,0,,,
r*****,R1,Applying,United States,,,Liberal Arts and Humanities,N,,,,,,Marketing
OneBryantPark,R1,Applying,,730,3.78,Finance,N,,,0,,,Finance
whitman,R1,Applying,,,,,N,,,0,,,
sirflorez,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
skubik007,R1,Applying,,,,,N,,,0,Commercial Banking,Analyst,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
thomas4,R1,Application Submitted,,680,3.99,Science and Math,N,,,,,,Strategy
sagar2286,R1,Applying,,750,,,N,,,0,,,
abhinavgaur,R1,Applying,United States,720,,Computer Science,N,,,2,Consulting,Information Technology,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
JoyfulDan,R1,Applying,,720,3.1,Engineering,N,,27,5,Transportation,Operations,Finance
tgaucher,R1,Applying,,720,3.48,Accounting,N,,27,5,Accounting,Consulting,Strategy
v9eet,R1,Applying,United States,,3.9,Engineering,N,,2008,0,Energy and Utilities,Operations,General Management
Manali21,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
bazeb,R2,Applying,United States,760,,,N,,,,,,Healthcare
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
nicelystupid,R1,Applying,,710,3.61,Other,N,,28,5,Consulting,Consulting,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
meghak1802,R1,Applying,,,,,N,,,0,,,Economics
camegha,R1,Applying,,,,,N,,,0,,,
kaushikakiwatkar,R1,,,,2.3,Computer Science,N,,,0,,,General Management
abhigyansmit,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
robanm90,R1,Applying,United States,,,Engineering,N,,26,3,Commercial Banking,Engineering,
mba2morrow,R1,Applying,,760,,Engineering,N,,26,4,Consulting,Consulting,Strategy
S******,R1,Applying,,730,3.54,Finance,N,,,,,,Strategy
Delmar78,R1,Applying,,570,3.1,Arts,N,,37,0,Advertising and PR,Design,Marketing
sidduvicster,R2,Applying,,,,,N,,,0,,,Strategy
adityapuri,R1,Applying,United States,,,Engineering,N,,26,4,Consulting,Consulting,
gautam9047,R1,Applying,India,720,2.94,Engineering,N,,29,6,Investment Banking,Analyst,Finance
llaroo,R1,Applying,,700,3.2,Other,N,,,0,,,Entrepreneurship
adegrandchamp,R1,Application Submitted,United States,720,3.6,Other,N,,27,6,Non-Profit and Government,Other,Finance
ESAD0116,R1,Applying,,,,,N,,,0,,,General Management
hsinam12,R1,Applying,,,,,N,,,0,,,
Adesh.ag,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
vanillathunder,R1,Applying,,,,,N,,,0,,,Finance
gabrielsien,R1,Applying,,,3.74,Engineering,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Chaithanya619,R1,,India,,,Computer Science,N,,,2,Computer Software,Information Technology,Finance
m*****,R1,Applying,United States,,3.79,Science and Math,N,,28,0,Energy and Utilities,Analyst,Finance
ajitugru,R1,Applying,,,3.18,Accounting,N,,,6,Other,Analyst,Finance
bmaaghul,R1,Applying,,740,,,N,,,0,,,
AnuragSarangi,R1,Applying,,,,,N,,,0,,,
p********,R1,Applying,India,,4,,N,,22,0,Consulting,Consulting,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
NYCgirl15,R1,Applying,United States,,,Accounting,N,,,,,,Marketing
viswanathnittala,R1,Applying,United States,,3.4,Engineering,N,,,0,Consumer Products,General Management,Entrepreneurship
rahultomar1607,R1,Applying,United States,,,Computer Science,N,,26,0,Computer Software,Business Development,Finance
akshayvip,R1,Applying,India,,,Engineering,N,,24,6,,,
siri5073,R1,Applying,United States,740,,Economics,N,,30,7,Investment Banking,Securities Sales and Trading,
appsmba2016,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
andydc20,R1,Applying,United States,,,Economics,N,,,,,,Finance
addygarwal,R1,Applying,,,,,N,,,0,,,
HurricaneWillie,R2,Applying,,750,,,N,,,0,,,
joaquinsaul,R2,Applying,,710,2.95,Engineering,N,,30,5,Transportation,General Management,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
lgswe88,R1,Applying,,,,,N,,,0,,,
totaroo,R1,Applying,,,,,N,,,0,,,
Wowbagger,R1,Applying,Singapore,760,,Computer Science,N,,30,6,Investment Banking,Investment Banking,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
smylavarapu,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jeffinthehouse,R1,Applying,,,,,N,,,0,,,Entrepreneurship
foliveira87,R1,Applying,United States,710,3.7,Business,N,,29,4,Computer Software,Consulting,
layan,R2,Applying,Brazil,,,Engineering,N,,,0,Consulting,Consulting,Finance
AdmiralFatAllen,R1,Applying,United States,780,,,N,,,0,,,
jbmonu,R1,Applying,United States,,3.45,Economics,N,,28,0,Entertainment and Sports,Other,Other
jfo8,R1,Applying,,,,,N,,,0,,,
AlexandreFBelo,R2,Applying,United States,,,Other,N,,,0,Investment Banking,Securities Sales and Trading,
seeingthrough110,R1,Applying,,690,,,N,,,0,,,
Attie,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jj2718,R1,Applying,,770,3.7,Engineering,N,,29,3,Law,Law,Finance
nzk5053,R1,Applying,,,,,N,,,0,,,
jelewis0525,R1,Applying,,,2.89,Science and Math,N,,27,4,Consumer Products,Engineering,Marketing
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
cowsertm1,R1,Applying,,,3.62,Accounting,N,,29,7,Military & Defense,Military Officer,
xsoto,R1,Applying,,630,3.3,Business,N,,28,0,Consumer Products,Business Development,
mlane,R3,Applying,,,,,N,,,0,,,
smkashikar,R1,Applying,,,,Engineering,N,,,0,,,Finance
rkolton,R1,Applying,,,,,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
dLo,R1,Applying,United States,710,3.33,Engineering,N,,30,6,Pharmaceuticals and Biotech,Engineering,Technology
torreadortorment,R1,Applying,,,,Business,N,,27,6,Investment Banking,Investment Banking,
