Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
l*************,R3,Matriculating,United States,730,3.09,Computer Science,Y,02-17-2015,27,7,Other,Analyst,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
abhinavc89,R1,Applying,,,,,N,,,0,,,
marsh0408,R3,Invited to Interview,,760,,,N,02-11-2015,,0,,,
bhaskardkulkarni,R2,Applying,United States,,3.63,Engineering,N,,33,5,Investment Banking,Investment Banking,Finance
krishnakanthk,R2,Applying,India,710,3.75,Engineering,N,,27,5,Consulting,Analyst,Finance
cawainaman,R1,Applying,,,,,N,,,0,,,
sachdix,R2,Denied without Interview,India,720,,Engineering,N,,28,7,Investment Banking,Investment Banking,Finance
JayKay,R2,Applying,India,760,2.8,Engineering,N,,31,9,Computer Software,Information Technology,Technology
marirs,R1,Applying,,,,,N,,,0,,,
dr0xlunltd,R1,Waitlisted with Interview,United States,710,3.28,Engineering,N,12-01-2014,30,7,Real Estate,Project Management,Real Estate
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
bohdan01,R1,Denied without Interview,,,,,N,,,0,,,
akshaydiljit,R1,Applying,,,4,Engineering,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
zw12345,R1,Applying,,,,,N,,,0,,,
duffman26,R2,Waitlisted without Interview,India,700,3.7,Accounting,N,,28,8,Internet and New Media,Business Development,Real Estate
akhil911,R2,Applying,United States,,3,Engineering,N,,22,4,Computer Software,Analyst,Economics
endy2,R2,Waitlisted without Interview,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
sadruzzaman,R1,Applying,Bangladesh,,3,Marketing,N,,14,0,Consulting,Marketing,Marketing
reapp2014,R1,Applying,United States,720,3.4,Engineering,N,,27,4,Consulting,Analyst,Leadership
pushkar78,R1,Applying,India,,,Engineering,N,,,0,Manufacturing,Engineering,Finance
a*******,R1,Admitted from WL,,670,3.2,Economics,Y,04-21-2015,,,,,General Management
NewPositiveSoul,R1,Applying,,,3.48,Liberal Arts and Humanities,N,,,0,Investment Banking,Securities Sales and Trading,Finance
Kprasannasbi,R2,,,,2.11,Engineering,N,,,0,,,Finance
lemonkey,R3,Waitlisted without Interview,,,3.3,Other,N,,,,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jryan131,R1,,,,,,N,,,0,,,
M********,R1,Interviewed,India,710,,Engineering,Y,02-25-2015,,,,,Social Entrepreneurship
adimitl86,R1,Application Submitted,,,,Other,N,,28,6,Retail,Other,Strategy
noopur06,R1,Invited to Interview,,750,,Economics,N,12-11-2014,,,,,
karimsousse,R1,,,,,,N,,,0,,,
oxygen007,R1,Invited to Interview,,760,,,N,12-04-2014,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
rsk02003,R1,Applying,United States,,,,N,,29,6,Non-Profit and Government,Consulting,Real Estate
kchung3,R2,Admitted,,730,,Accounting,Y,12-29-2014,,0,Investment Banking,Investment Banking,Finance
carospin,R1,Applying,,630,3.37,Finance,N,,27,2,Investment Banking,Asset Management,Finance
rrubio,R1,,,,,,N,,,0,,,
sinsomnia,R2,,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
