Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
Merfolk17,R1,Applying,,660,3.73,Business,N,,27,4,Mutual Funds and Brokerage,Research,Finance
k****,R1,Application Submitted,,,,,N,,,,,,
whirlwind,R2,Admitted,,,,Engineering,N,,,,,,Marketing
chaoswithin,R2,Admitted,United States,740,3.29,Engineering,N,03-05-2012,28,5,Consulting,Engineering,Finance
p*******,R1,Matriculating,United States,760,3.8,Economics,N,,,5,,Asset Management,Economics
d*********,R1,Waitlisted without Interview,United States,710,3.38,Finance,N,,26,4,Real Estate,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
PaulAllen,R1,Admitted,,760,3.3,Finance,Y,12-14-2011,,,,,Finance
nsp,R2,Matriculating,,720,3.65,Economics,Y,02-27-2012,27,4,Pharmaceuticals and Biotech,Consulting,Healthcare
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
d*******,R2,Application Submitted,India,690,3.9,Computer Science,N,,,0,Investment Banking,Information Technology,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
johnnyGMAT2k10,R1,Waitlisted without Interview,United States,,,Engineering,N,,28,5,Telecommunications,Engineering,Finance
kidchaos,R1,Denied without Interview,India,710,,Engineering,N,,24,3,Other,Marketing,Marketing
diz,R1,Denied without Interview,,730,,Economics,N,,,,,,Finance
jjin4u,R2,Application Submitted,,750,,,N,,,0,,,
drdorian,R2,Application Submitted,,660,,Economics,N,,,,,,Finance
ssinha,R1,Application Submitted,India,740,3.5,Engineering,N,,28,6,Consulting,Information Technology,Technology
siddtox,R1,Waitlisted without Interview,India,740,3,Business,N,,25,4,Consulting,Real Estate,
n******,R2,Admitted,,,,Liberal Arts and Humanities,N,,,,,,International Business
ondraled,R2,Admitted,Czech Republic,730,3.03,Liberal Arts and Humanities,Y,02-24-2012,30,4,Real Estate,Marketing,Marketing
S**************,R2,Admitted,United States,760,,Finance,N,,27,5,Consulting,Consulting,
Etre3,R1,Admitted,,,3.95,Computer Science,N,,,0,Computer Software,Engineering,Strategy
e*****,R2,Admitted,United States,,3.1,Liberal Arts and Humanities,Y,01-23-2012,30,4,,,Marketing
fuji,R1,Admitted,United States,730,3.03,Business,N,,29,6,Consulting,Consulting,Finance
m*********,R1,Waitlisted without Interview,,780,3,Engineering,N,,26,4,Computer Software,Consulting,Strategy
